name,discovery_method,discovery_year,orbital_period,distance,planet_radius
Kepler-1801 c,Transit,2023,116.5832,839.332,2.91
Kepler-1802 b,Transit,2021,15.4502,636.694,1.671
Kepler-1802 c,Transit,2021,33.1361,636.694,2.322
Kepler-1804 b,Transit,2021,12.2885,434.456,1.5962
Kepler-1805 b,Transit,2021,8.8479,221.639,1.545
Kepler-1806 b,Transit,2021,9.0333,978.066,2.3556
Kepler-1807 b,Transit,2021,10.8606,1299.32,2.7039
Kepler-1808 b,Transit,2021,23.3404,1022.01,3.0251
Kepler-1809 b,Transit,2021,3.7573,409.602,1.513
Kepler-181 b,Transit,2014,3.1379,609.283,1.27
Kepler-181 c,Transit,2014,4.3021,609.283,1.99
Kepler-1810 b,Transit,2021,101.133,1009.87,3.9182
Kepler-1811 b,Transit,2021,76.4223,1390.56,3.8483
Kepler-1812 b,Transit,2021,7.1652,1409.19,2.3249
Kepler-1813 b,Transit,2021,2.8182,,1.413
Kepler-1814 b,Transit,2021,2.9354,726.346,2.3696
Kepler-1814 c,Transit,2023,0.6263,726.346,1.76
Kepler-1815 b,Transit,2021,12.1914,1006.63,2.7489
Kepler-1816 b,Transit,2021,91.501,437.823,1.9679
Kepler-1817 b,Transit,2021,44.2992,748.569,2.2735
Kepler-1818 b,Transit,2021,4.6449,1034.59,1.7136
Kepler-1819 b,Transit,2021,16.4869,1363.19,3.9035
Kepler-182 b,Transit,2014,9.8258,1549.09,2.58
Kepler-182 c,Transit,2014,20.6843,1549.09,3.43
Kepler-1820 b,Transit,2021,31.0325,1425.39,3.1188
Kepler-1821 b,Transit,2021,16.4581,799.699,2.5925
Kepler-1822 b,Transit,2021,22.1334,897.597,2.6476
Kepler-1823 b,Transit,2021,21.1034,724.971,2.0861
Kepler-1824 b,Transit,2021,95.611,1040.1,2.3813
Kepler-1825 b,Transit,2021,1.0259,430.254,1.422
Kepler-1826 b,Transit,2021,1.6154,336.952,1.4752
Kepler-1827 b,Transit,2021,3.7006,686.461,1.8564
Kepler-1828 b,Transit,2021,10.2738,871.81,2.116
Kepler-1829 b,Transit,2021,5.1867,679.921,2.4789
Kepler-183 b,Transit,2014,5.6879,1050.64,2.06
Kepler-183 c,Transit,2014,11.6371,1050.64,2.27
Kepler-1830 b,Transit,2021,56.4933,1056.88,3.3299
Kepler-1831 b,Transit,2021,5.7839,1053.49,1.9702
Kepler-1832 b,Transit,2021,3.1388,486.174,1.2272
Kepler-1833 b,Transit,2021,6.8921,591.602,1.3003
Kepler-1834 b,Transit,2021,4.603,500.395,1.4594
Kepler-1834 c,Transit,2023,0.7667,500.395,1.22
Kepler-1835 b,Transit,2021,11.9641,1404.38,3.5339
Kepler-1836 b,Transit,2021,5.2542,1472.62,2.553
Kepler-1837 b,Transit,2021,5.9061,1229.18,2.0667
Kepler-1838 b,Transit,2021,12.1468,451.242,1.6605
Kepler-1839 b,Transit,2021,5.0568,1136.6,1.9494
Kepler-184 b,Transit,2014,10.6876,610.326,2.36
Kepler-184 c,Transit,2014,20.303,610.326,1.97
Kepler-184 d,Transit,2014,29.0224,610.326,2.49
Kepler-1840 b,Transit,2021,131.19,513.107,2.7777
Kepler-1841 b,Transit,2021,25.886,631.7,1.4891
Kepler-1842 b,Transit,2021,14.0264,923.551,2.3539
Kepler-1843 b,Transit,2021,25.5434,784.625,2.7091
Kepler-1844 b,Transit,2021,3.9245,1804.36,3.0365
Kepler-1845 b,Transit,2021,11.6065,710.724,2.4384
Kepler-1846 b,Transit,2021,14.8201,374.615,1.7638
Kepler-1847 b,Transit,2021,11.1297,1693.86,2.7452
Kepler-1848 b,Transit,2021,5.604,309.696,1.4089
Kepler-1849 b,Transit,2021,57.2929,631.884,2.3869
Kepler-185 b,Transit,2014,1.6329,466.735,1.17
Kepler-185 c,Transit,2014,20.729,466.735,2.02
Kepler-1850 b,Transit,2021,1.3858,250.199,0.7291
Kepler-1851 b,Transit,2021,12.0229,1589.81,3.9001
Kepler-1852 b,Transit,2021,7.9709,772.481,1.8861
Kepler-1853 b,Transit,2021,48.8882,562.348,1.5186
Kepler-1854 b,Transit,2021,39.8311,423.348,2.5875
Kepler-1855 b,Transit,2021,0.7273,,1.2162
Kepler-1856 b,Transit,2021,1.302,848.76,1.7345
Kepler-1857 b,Transit,2021,8.9434,853.275,1.9607
Kepler-1858 b,Transit,2021,88.0716,833.055,2.4217
Kepler-1859 b,Transit,2021,2.7296,1331.25,1.5831
Kepler-1859 c,Transit,2023,3.5965,1331.25,1.66
Kepler-186 b,Transit,2014,3.8868,177.594,1.07
Kepler-186 c,Transit,2014,7.2673,177.594,1.25
Kepler-186 d,Transit,2014,13.343,177.594,1.4
Kepler-186 e,Transit,2014,22.4077,177.594,1.27
Kepler-186 f,Transit,2014,129.9441,177.594,1.17
Kepler-1860 b,Transit,2021,12.7372,438.703,1.1386
Kepler-1861 b,Transit,2021,40.0306,829.985,2.2068
Kepler-1862 b,Transit,2021,16.0573,1232.19,2.203
Kepler-1863 b,Transit,2021,44.9976,865.546,2.2631
Kepler-1864 b,Transit,2021,3.8815,298.894,0.7541
Kepler-1865 b,Transit,2021,2.524,922.255,1.5769
Kepler-1866 b,Transit,2021,11.6601,976.737,2.0822
Kepler-1867 b,Transit,2021,9.8874,680.583,1.1599
Kepler-1868 b,Transit,2021,211.034,274.18,3.1495
Kepler-1869 b,Transit,2021,8.1674,113.025,1.1196
Kepler-1869 c,Transit,2023,1.7168,113.025,0.74
Kepler-187 b,Transit,2014,4.9389,1143.0,1.41
Kepler-187 c,Transit,2014,10.6403,1143.0,2.67
Kepler-1870 b,Transit,2021,3.6069,407.216,2.1014
Kepler-1871 b,Transit,2021,1.9527,854.623,2.4217
Kepler-1872 b,Transit,2021,3.8259,840.182,2.3842
Kepler-1873 b,Transit,2021,0.5588,820.957,1.6257
Kepler-1874 b,Transit,2021,56.5732,408.007,2.2111
Kepler-1875 b,Transit,2021,34.4586,1660.45,3.2269
Kepler-1876 b,Transit,2021,6.992,259.935,0.853
Kepler-1877 b,Transit,2021,2.3776,285.312,0.6241
Kepler-1878 b,Transit,2021,4.4459,1494.3,2.9202
Kepler-1879 b,Transit,2021,10.6134,627.171,2.0651
Kepler-188 b,Transit,2014,2.0619,968.544,1.68
Kepler-188 c,Transit,2014,5.9966,968.544,3.19
Kepler-1880 b,Transit,2021,6.3092,611.041,2.1169
Kepler-1881 b,Transit,2021,159.394,1057.21,2.981
Kepler-1882 b,Transit,2021,13.7873,443.371,1.4867
Kepler-1883 b,Transit,2021,103.427,1377.61,3.2511
Kepler-1884 b,Transit,2021,8.9883,1443.09,1.8141
Kepler-1885 b,Transit,2021,2.5226,818.482,1.5111
Kepler-1886 b,Transit,2021,24.2758,1059.51,2.5816
Kepler-1887 b,Transit,2021,19.9475,1366.18,2.9245
Kepler-1888 b,Transit,2021,11.3917,402.947,1.3258
Kepler-1889 b,Transit,2021,37.3037,1395.13,2.9436
Kepler-189 b,Transit,2014,10.3999,591.534,1.21
Kepler-189 c,Transit,2014,20.1349,591.534,2.38
Kepler-1890 b,Transit,2021,4.8206,529.596,0.8687
Kepler-1891 b,Transit,2021,4.0223,596.24,1.5214
Kepler-1892 b,Transit,2021,6.3312,851.595,1.8371
Kepler-1893 b,Transit,2021,4.1794,1050.72,1.7056
Kepler-1894 b,Transit,2021,2.7627,935.191,1.2012
Kepler-1894 c,Transit,2023,5.0537,935.191,1.21
Kepler-1895 b,Transit,2021,6.0703,984.187,2.1193
Kepler-1896 b,Transit,2021,44.8702,1732.91,3.0994
Kepler-1897 b,Transit,2021,24.2203,983.174,2.8141
Kepler-1898 b,Transit,2021,4.7656,360.921,0.9335
Kepler-1899 b,Transit,2021,4.0958,711.509,1.551
Kepler-19 b,Transit,2011,9.287,218.562,2.209
Kepler-19 c,Transit Timing Variations,2011,28.731,218.562,
Kepler-19 d,Radial Velocity,2017,62.95,218.562,
Kepler-190 b,Transit,2014,2.02,433.387,1.56
Kepler-190 c,Transit,2014,3.763,433.387,1.46
Kepler-1900 b,Transit,2021,2.9862,1540.43,1.6231
Kepler-1901 b,Transit,2021,3.4841,1028.37,1.4742
Kepler-1902 b,Transit,2021,3.8222,344.337,1.1756
Kepler-1903 b,Transit,2021,17.0679,1775.44,2.2864
Kepler-1904 b,Transit,2021,4.577,270.854,1.3905
Kepler-1905 b,Transit,2021,3.4239,1051.53,1.4461
Kepler-1906 b,Transit,2021,7.3627,1360.63,2.7762
Kepler-1907 b,Transit,2021,5.6525,292.111,0.8697
Kepler-1907 c,Transit,2021,14.8639,292.111,1.1555
Kepler-1909 b,Transit,2021,2.3916,763.662,1.0922
Kepler-191 b,Transit,2014,9.9396,594.464,1.34
Kepler-191 c,Transit,2014,17.7385,594.464,1.86
Kepler-191 d,Transit,2016,5.945,594.464,2.28
Kepler-1910 b,Transit,2021,5.6888,,1.184
Kepler-1911 b,Transit,2021,5.9908,269.912,1.011
Kepler-1912 b,Transit,2021,6.0592,297.017,1.3567
Kepler-1913 b,Transit,2021,14.196,876.3,1.5185
Kepler-1914 b,Transit,2021,30.8279,1621.56,2.943
Kepler-1915 b,Transit,2021,13.8354,1514.66,3.218
Kepler-1916 b,Transit,2021,31.2543,2055.82,2.6176
Kepler-1917 b,Transit,2021,12.9024,909.037,1.8897
Kepler-1918 b,Transit,2021,47.0564,1030.11,2.2976
Kepler-1919 b,Transit,2021,37.8866,1177.53,2.6239
Kepler-192 b,Transit,2014,9.9267,651.674,2.74
Kepler-192 c,Transit,2014,21.2234,651.674,2.79
Kepler-192 d,Transit,2016,6.4703,651.674,1.02
Kepler-1920 b,Transit,2021,30.2541,885.913,2.9542
Kepler-1921 b,Transit,2021,20.0348,928.989,2.8946
Kepler-1921 c,Transit,2023,3.1572,928.989,1.41
Kepler-1922 b,Transit,2021,13.2226,1344.29,2.2906
Kepler-1923 b,Transit,2021,52.6097,990.838,1.9596
Kepler-1924 b,Transit,2021,15.3317,1910.77,2.6545
Kepler-1925 b,Transit,2021,46.7164,1771.31,3.0018
Kepler-1926 b,Transit,2021,42.8777,667.405,2.315
Kepler-1927 b,Transit,2021,73.7504,1091.0,3.4063
Kepler-1928 b,Transit,2021,19.5778,326.362,1.992
Kepler-1929 b,Transit,2021,59.3625,508.201,3.0725
Kepler-193 b,Transit,2014,11.3885,1009.1,2.39
Kepler-193 c,Transit,2014,50.6975,1009.1,2.75
Kepler-1930 b,Transit,2021,13.0268,275.694,1.5296
Kepler-1931 b,Transit,2021,38.5761,620.091,2.6532
Kepler-1932 b,Transit,2021,0.5242,713.733,1.5148
Kepler-1933 b,Transit,2021,4.9433,328.007,1.1798
Kepler-1934 b,Transit,2021,1.4198,428.514,0.9131
Kepler-1935 b,Transit,2021,3.9514,904.702,2.5027
Kepler-1936 b,Transit,2021,126.557,871.096,3.1662
Kepler-1937 b,Transit,2021,9.6886,905.069,3.0229
Kepler-1938 b,Transit,2021,13.0626,421.152,1.8283
Kepler-1939 b,Transit,2021,2.7907,189.833,1.1648
Kepler-194 b,Transit,2014,2.0923,1097.97,1.51
Kepler-194 c,Transit,2014,17.308,1097.97,2.59
Kepler-194 d,Transit,2014,52.815,1097.97,2.4
Kepler-1940 b,Transit,2021,4.9506,798.595,1.5473
Kepler-1941 b,Transit,2021,31.3351,1494.39,2.6498
Kepler-1942 b,Transit,2021,4.626,842.492,2.117
Kepler-1943 b,Transit,2021,4.8502,1004.55,1.5487
Kepler-1944 b,Transit,2021,9.8426,1076.48,2.7597
Kepler-1945 b,Transit,2021,6.08,,1.289
Kepler-1946 b,Transit,2021,3.0352,1002.12,2.4881
Kepler-1947 b,Transit,2021,6.9636,468.771,1.0102
Kepler-1948 b,Transit,2021,15.5713,193.903,1.0328
Kepler-1949 b,Transit,2021,2.2083,2617.35,2.2196
Kepler-195 b,Transit,2014,8.3079,652.051,2.03
Kepler-195 c,Transit,2014,34.0969,652.051,1.55
Kepler-1950 b,Transit,2021,10.7769,697.253,1.527
Kepler-1951 b,Transit,2021,20.6578,1277.32,2.3211
Kepler-1952 b,Transit,2021,27.2108,852.062,1.2392
Kepler-1953 b,Transit,2021,6.2457,605.631,1.2857
Kepler-1954 b,Transit,2021,5.8834,1373.83,1.8024
Kepler-1955 b,Transit,2021,14.2652,449.351,1.1665
Kepler-1956 b,Transit,2021,5.9437,360.468,1.0894
Kepler-1957 b,Transit,2021,2.1866,460.899,0.9437
Kepler-1958 b,Transit,2021,9.3286,1320.38,2.0512
Kepler-1959 b,Transit,2021,6.3867,479.263,1.1432
Kepler-196 b,Transit,2014,20.7399,451.312,1.9
Kepler-196 c,Transit,2014,47.4277,451.312,2.24
Kepler-196 d,Transit,2021,122.08,451.312,2.6607
Kepler-1960 b,Transit,2021,2.2979,1527.56,1.3075
Kepler-1961 b,Transit,2021,5.6047,1042.45,1.6188
Kepler-1962 b,Transit,2021,7.9915,866.826,1.2146
Kepler-1963 b,Transit,2021,1.9623,492.847,0.7444
Kepler-1964 b,Transit,2021,2.4408,,1.7811
Kepler-1965 b,Transit,2021,41.8687,521.791,1.3542
Kepler-1966 b,Transit,2021,8.6174,484.601,1.1048
Kepler-1967 b,Transit,2021,7.2817,249.102,0.7302
Kepler-1968 b,Transit,2021,7.2811,750.93,1.5
Kepler-1969 b,Transit,2021,6.6475,1204.54,1.6816
Kepler-197 b,Transit,2014,5.5993,330.575,1.02
Kepler-197 c,Transit,2014,10.3497,330.575,1.23
Kepler-197 d,Transit,2014,15.6776,330.575,1.22
Kepler-197 e,Transit,2014,25.2097,330.575,0.91
Kepler-1972 b,Transit,2022,7.5442,287.339,0.802
Kepler-1972 c,Transit,2022,11.3295,287.339,0.868
Kepler-1976 b,Transit Timing Variations,2023,4.9593,1314.51,12.21
Kepler-1977 b,Transit,2023,4.537,592.711,1.66
Kepler-1978 b,Transit,2023,10.8497,865.512,2.67
Kepler-1979 b,Transit,2023,18.5085,1076.27,29.33
Kepler-198 b,Transit,2014,17.79,495.358,2.82
Kepler-198 c,Transit,2014,49.5674,495.358,2.47
Kepler-198 d,Transit,2016,1.3118,495.358,1.53
Kepler-1980 b,Transit,2023,33.0257,1709.4,2.21
Kepler-1981 b,Transit,2023,453.5421,659.395,9.23
Kepler-1982 b,Transit,2023,3.8232,558.855,0.77
Kepler-1983 b,Transit,2023,7.3285,424.428,2.33
Kepler-1984 b,Transit,2023,1.9928,,6.81
Kepler-1985 b,Transit,2023,3.4206,,2.27
Kepler-1986 b,Transit,2023,19.549,912.085,1.89
Kepler-1987 b,Transit,2023,2.3459,595.683,1.23
Kepler-1987 c,Transit,2023,3.6483,595.683,1.33
Kepler-1987 d,Transit,2023,5.6449,595.683,2.66
Kepler-1987 e,Transit,2023,8.7429,595.683,1.92
Kepler-1988 b,Transit,2023,11.495,513.426,1.53
Kepler-1989 b,Transit,2023,10.161,1252.13,4.62
Kepler-199 b,Transit,2014,23.6376,521.054,3.11
Kepler-199 c,Transit,2014,67.0934,521.054,3.25
Kepler-1990 b,Transit,2023,1.7351,392.739,3.27
Kepler-1990 c,Transit,2023,4.0684,392.739,0.98
Kepler-1991 b,Transit,2023,13.2608,855.82,1.47
Kepler-1991 c,Transit,2023,22.7902,855.82,2.57
Kepler-1992 b,Transit,2023,15.6112,532.955,0.91
Kepler-1993 b,Transit,2023,26.6566,1031.91,4.15
Kepler-1994 b,Transit,2023,4.6123,241.991,0.51
Kepler-1995 b,Transit,2023,73.7579,595.331,4.28
Kepler-1996 b,Transit,2023,32.3762,440.561,2.26
Kepler-1996 c,Transit,2023,92.7297,440.561,2.81
Kepler-1997 b,Transit,2023,26.7576,1502.34,2.28
Kepler-1998 b,Transit,2023,3.0327,340.965,0.6
Kepler-1999 b,Transit,2023,8.7397,701.255,3.29
Kepler-20 b,Transit,2011,3.6961,282.563,1.773
Kepler-20 c,Transit,2011,10.8541,282.563,2.894
Kepler-20 d,Transit,2011,77.6115,282.563,2.606
Kepler-20 e,Transit,2011,6.0985,282.563,0.821
Kepler-20 f,Transit,2011,19.5783,282.563,0.952
Kepler-20 g,Radial Velocity,2016,34.94,282.563,
Kepler-200 b,Transit,2014,8.5948,665.912,2.13
Kepler-200 c,Transit,2014,10.2222,665.912,1.59
Kepler-2000 b,Transit,2023,6.3832,320.588,2.73
Kepler-2000 c,Transit,2023,20.618,320.588,1.57
Kepler-2001 b,Transit,2023,1.09,776.55,1.04
Kepler-2001 c,Transit,2023,14.0926,776.55,1.82
Kepler-201 b,Transit,2014,25.6721,636.445,2.46
Kepler-201 c,Transit,2014,151.8841,636.445,2.85
Kepler-202 b,Transit,2014,4.0694,285.111,1.63
Kepler-202 c,Transit,2014,16.2825,285.111,1.85
Kepler-203 b,Transit,2014,3.1627,703.302,2.57
Kepler-203 c,Transit,2014,5.3706,703.302,2.47
Kepler-203 d,Transit,2014,11.3297,703.302,1.44
Kepler-204 b,Transit,2014,14.401,686.723,2.53
Kepler-204 c,Transit,2014,25.6606,686.723,1.79
Kepler-205 b,Transit,2014,2.7556,159.72,1.51
Kepler-205 c,Transit,2014,20.3065,159.72,1.64
Kepler-206 b,Transit,2014,7.782,594.447,1.2
Kepler-206 c,Transit,2014,13.1375,594.447,1.77
Kepler-206 d,Transit,2014,23.4428,594.447,1.19
Kepler-207 b,Transit,2014,1.6119,875.519,1.57
Kepler-207 c,Transit,2014,3.0716,875.519,1.5
Kepler-207 d,Transit,2014,5.8681,875.519,3.31
Kepler-208 b,Transit,2014,4.2286,775.328,1.63
Kepler-208 c,Transit,2014,7.4666,775.328,1.39
Kepler-208 d,Transit,2014,11.1318,775.328,1.2
Kepler-208 e,Transit,2014,16.2595,775.328,1.48
Kepler-209 b,Transit,2014,16.0878,576.946,2.26
Kepler-209 c,Transit,2014,41.7499,576.946,3.1
Kepler-21 b,Transit,2012,2.7858,108.522,1.639
Kepler-210 b,Transit,2014,2.4532,232.75,2.94
Kepler-210 c,Transit,2014,7.9725,232.75,3.62
Kepler-211 b,Transit,2014,4.1386,309.353,1.26
Kepler-211 c,Transit,2014,6.0404,309.353,1.29
Kepler-212 b,Transit,2014,16.2576,687.194,1.09
Kepler-212 c,Transit,2014,31.8052,687.194,2.74
Kepler-213 b,Transit,2014,2.4624,634.939,1.62
Kepler-213 c,Transit,2014,4.823,634.939,2.34
Kepler-214 b,Transit,2014,15.6605,1208.44,2.61
Kepler-214 c,Transit,2014,28.7798,1208.44,2.13
Kepler-215 b,Transit,2014,9.3607,485.997,1.62
Kepler-215 c,Transit,2014,14.6671,485.997,1.77
Kepler-215 d,Transit,2014,30.8644,485.997,2.39
Kepler-215 e,Transit,2014,68.161,485.997,1.75
Kepler-216 b,Transit,2014,7.6936,1187.47,2.35
Kepler-216 c,Transit,2014,17.4067,1187.47,3.04
Kepler-217 b,Transit,2014,5.3749,1104.64,2.23
Kepler-217 c,Transit,2014,8.586,1104.64,1.85
Kepler-217 d,Transit,2016,3.8869,1104.64,1.32
Kepler-218 b,Transit,2014,3.6193,656.38,1.48
Kepler-218 c,Transit,2014,44.6996,656.38,3.14
Kepler-218 d,Transit,2016,124.5245,656.38,2.66
Kepler-219 b,Transit,2014,4.5855,787.07,2.95
Kepler-219 c,Transit,2014,22.7146,787.07,3.58
Kepler-219 d,Transit,2014,47.9036,787.07,2.81
Kepler-22 b,Transit,2011,289.8639,194.642,2.1
Kepler-220 b,Transit,2014,4.1598,171.109,0.81
Kepler-220 c,Transit,2014,9.0342,171.109,1.57
Kepler-220 d,Transit,2014,28.1224,171.109,0.98
Kepler-220 e,Transit,2014,45.9027,171.109,1.33
Kepler-221 b,Transit,2014,2.7959,385.231,1.71
Kepler-221 c,Transit,2014,5.6906,385.231,2.93
Kepler-221 d,Transit,2014,10.0416,385.231,2.73
Kepler-221 e,Transit,2014,18.3699,385.231,2.63
Kepler-222 b,Transit,2014,3.937,758.854,3.16
Kepler-222 c,Transit,2014,10.0888,758.854,4.64
Kepler-222 d,Transit,2014,28.0819,758.854,3.69
Kepler-223 b,Transit,2014,7.3845,1859.71,2.99
Kepler-223 c,Transit,2014,9.8456,1859.71,3.44
Kepler-223 d,Transit,2014,14.7887,1859.71,5.24
Kepler-223 e,Transit,2014,19.7257,1859.71,4.6
Kepler-224 b,Transit,2014,3.1329,782.088,1.39
Kepler-224 c,Transit,2014,5.925,782.088,3.12
Kepler-224 d,Transit,2014,11.3494,782.088,2.3
Kepler-224 e,Transit,2014,18.6436,782.088,1.97
Kepler-225 b,Transit,2014,6.739,561.101,1.2
Kepler-225 c,Transit,2014,18.7942,561.101,1.84
Kepler-226 b,Transit,2014,3.941,980.138,1.55
Kepler-226 c,Transit,2014,5.3496,980.138,2.27
Kepler-226 d,Transit,2014,8.109,980.138,1.22
Kepler-227 b,Transit,2014,9.488,1083.06,3.11
Kepler-227 c,Transit,2014,54.4187,1083.06,3.04
Kepler-228 b,Transit,2014,2.5665,1644.61,1.53
Kepler-228 c,Transit,2014,4.1344,1644.61,2.7
Kepler-228 d,Transit,2014,11.0943,1644.61,4.04
Kepler-229 b,Transit,2014,6.253,826.265,2.2
Kepler-229 c,Transit,2014,16.0686,826.265,4.92
Kepler-229 d,Transit,2014,41.1949,826.265,3.85
Kepler-23 b,Transit,2011,7.1,835.756,1.638
Kepler-23 c,Transit,2011,10.74,835.756,3.005
Kepler-23 d,Transit,2014,15.27,835.756,2.206
Kepler-230 b,Transit,2014,32.6256,740.754,4.26
Kepler-230 c,Transit,2014,91.7732,740.754,2.04
Kepler-231 b,Transit,2014,10.0653,316.618,1.73
Kepler-231 c,Transit,2014,19.2716,316.618,1.93
Kepler-232 b,Transit,2014,4.4312,1349.13,3.08
Kepler-232 c,Transit,2014,11.3793,1349.13,3.83
Kepler-233 b,Transit,2014,8.4724,856.417,2.43
Kepler-233 c,Transit,2014,60.419,856.417,2.71
Kepler-234 b,Transit,2014,2.7115,1733.1,3.7
Kepler-234 c,Transit,2014,7.212,1733.1,3.51
Kepler-235 b,Transit,2014,3.3402,428.018,2.23
Kepler-235 c,Transit,2014,7.8249,428.018,1.28
Kepler-235 d,Transit,2014,20.0605,428.018,2.05
Kepler-235 e,Transit,2014,46.1837,428.018,2.22
Kepler-236 b,Transit,2014,8.2956,288.763,1.57
Kepler-236 c,Transit,2014,23.9681,288.763,2.0
Kepler-237 b,Transit,2014,4.7151,657.822,1.41
Kepler-237 c,Transit,2014,8.1036,657.822,2.08
Kepler-238 b,Transit,2014,2.0909,1798.75,1.73
Kepler-238 c,Transit,2014,6.1556,1798.75,2.39
Kepler-238 d,Transit,2014,13.2335,1798.75,3.07
Kepler-238 e,Transit,2013,23.654,1798.75,5.6
Kepler-238 f,Transit,2013,50.447,1798.75,2.0
Kepler-239 b,Transit,2014,11.7631,648.109,2.33
Kepler-239 c,Transit,2014,56.2281,648.109,2.51
Kepler-24 b,Transit,2011,8.14,1156.81,2.348
Kepler-24 c,Transit,2011,12.33,1156.81,2.514
Kepler-24 d,Transit,2014,4.2444,1156.81,1.67
Kepler-24 e,Transit,2014,18.9984,1156.81,2.78
Kepler-240 b,Transit,2014,4.1445,746.927,1.37
Kepler-240 c,Transit,2014,7.9535,746.927,2.2
Kepler-241 b,Transit,2014,12.7181,,2.33
Kepler-241 c,Transit,2014,36.066,,2.57
Kepler-242 b,Transit,2014,8.204,600.241,2.61
Kepler-242 c,Transit,2014,14.4965,600.241,2.0
Kepler-243 b,Transit,2014,5.7154,693.86,2.45
Kepler-243 c,Transit,2014,20.0262,693.86,1.99
Kepler-244 b,Transit,2014,4.3118,1036.49,2.76
Kepler-244 c,Transit,2014,9.7673,1036.49,2.05
Kepler-244 d,Transit,2014,20.0504,1036.49,2.31
Kepler-245 b,Transit,2014,7.4902,861.527,2.57
Kepler-245 c,Transit,2014,17.4608,861.527,2.18
Kepler-245 d,Transit,2014,36.2771,861.527,3.03
Kepler-245 e,Transit,2016,3.2198,861.527,1.75
Kepler-246 b,Transit,2014,4.6018,626.078,2.34
Kepler-246 c,Transit,2014,11.1872,626.078,1.5
Kepler-247 b,Transit,2014,3.3362,663.711,1.64
Kepler-247 c,Transit,2014,9.4395,663.711,4.09
Kepler-247 d,Transit,2014,20.4779,663.711,3.94
Kepler-248 b,Transit,2014,6.3082,738.792,3.02
Kepler-248 c,Transit,2014,16.2395,738.792,4.07
Kepler-249 b,Transit,2014,3.3065,190.401,1.09
Kepler-249 c,Transit,2014,7.1137,190.401,1.51
Kepler-249 d,Transit,2014,15.3685,190.401,1.57
Kepler-25 b,Transit,2011,6.2383,243.249,2.748
Kepler-25 c,Transit,2011,12.7207,243.249,5.217
Kepler-25 d,Radial Velocity,2014,122.4,243.249,
Kepler-250 b,Transit,2014,4.1481,760.585,1.13
Kepler-250 c,Transit,2014,7.1568,760.585,2.28
Kepler-250 d,Transit,2014,17.6483,760.585,2.18
Kepler-251 b,Transit,2014,4.7909,924.625,1.33
Kepler-251 c,Transit,2014,16.514,924.625,2.77
Kepler-251 d,Transit,2014,30.133,924.625,2.77
Kepler-251 e,Transit,2014,99.6402,924.625,2.77
Kepler-252 b,Transit,2014,6.6684,379.424,1.23
Kepler-252 c,Transit,2014,10.8485,379.424,2.15
Kepler-253 b,Transit,2014,3.784,838.595,1.63
Kepler-253 c,Transit,2014,10.282,838.595,2.65
Kepler-253 d,Transit,2014,18.1199,838.595,3.17
Kepler-254 b,Transit,2014,5.8267,1389.48,3.87
Kepler-254 c,Transit,2014,12.4122,1389.48,2.15
Kepler-254 d,Transit,2014,18.7465,1389.48,2.5
Kepler-255 b,Transit,2014,5.7146,1052.53,1.55
Kepler-255 c,Transit,2014,9.946,1052.53,2.99
Kepler-255 d,Transit,2016,1.0456,1052.53,1.32
Kepler-256 b,Transit,2014,1.6205,1026.43,1.59
Kepler-256 c,Transit,2014,3.388,1026.43,2.15
Kepler-256 d,Transit,2014,5.8392,1026.43,2.48
Kepler-256 e,Transit,2014,10.6816,1026.43,2.35
Kepler-257 b,Transit,2014,2.3827,780.256,2.61
Kepler-257 c,Transit,2014,6.5815,780.256,5.41
Kepler-257 d,Transit,2014,24.6646,780.256,4.95
Kepler-258 b,Transit,2014,13.1972,575.988,4.06
Kepler-258 c,Transit,2014,33.6531,575.988,3.61
Kepler-259 b,Transit,2014,8.1153,1002.14,2.8
Kepler-259 c,Transit,2014,36.9249,1002.14,2.7
Kepler-26 b,Transit,2011,12.28,335.307,2.78
Kepler-26 c,Transit,2011,17.2559,335.307,2.72
Kepler-26 d,Transit,2014,3.5439,335.307,1.07
Kepler-26 e,Transit,2014,46.8279,335.307,2.41
Kepler-260 b,Transit,2014,8.1874,627.365,2.01
Kepler-260 c,Transit,2014,76.0502,627.365,1.74
Kepler-261 b,Transit,2014,10.3812,317.499,2.18
Kepler-261 c,Transit,2014,24.5709,317.499,2.0
Kepler-262 b,Transit,2014,13.0609,613.129,1.36
Kepler-262 c,Transit,2014,21.8537,613.129,1.64
Kepler-263 b,Transit,2014,16.5681,754.747,2.67
Kepler-263 c,Transit,2014,47.3328,754.747,2.47
Kepler-264 b,Transit,2014,40.8062,942.173,3.33
Kepler-264 c,Transit,2014,140.1013,942.173,2.83
Kepler-265 b,Transit,2014,6.8463,1280.25,1.86
Kepler-265 c,Transit,2014,17.0289,1280.25,2.63
Kepler-265 d,Transit,2014,43.1306,1280.25,2.49
Kepler-265 e,Transit,2014,67.831,1280.25,2.59
Kepler-266 b,Transit,2014,6.6183,1370.79,2.48
Kepler-266 c,Transit,2014,107.7236,1370.79,3.89
Kepler-267 b,Transit,2014,3.3537,264.993,1.98
Kepler-267 c,Transit,2014,6.8774,264.993,2.13
Kepler-267 d,Transit,2014,28.4645,264.993,2.27
Kepler-268 b,Transit,2014,25.9341,851.87,2.55
Kepler-268 c,Transit,2014,83.4464,851.87,3.38
Kepler-269 b,Transit,2014,5.3267,2257.32,2.47
